Time,Temperature,Humidity,AirQuality
2024-01-08 16:46:28,27.5,35.3,High
2024-01-08 16:46:30,27.5,35.3,High
2024-01-08 16:46:32,27.5,35.3,High
2024-01-08 16:46:37,27.5,35.3,High
2024-01-08 16:46:39,27.5,35.2,High
2024-01-08 16:46:41,27.5,35.3,High
2024-01-08 16:46:44,27.5,35.3,High
2024-01-08 16:46:46,27.5,35.3,High
2024-01-08 16:46:48,27.5,35.3,High
2024-01-08 16:46:50,27.5,35.3,High
2024-01-08 16:46:53,27.5,35.3,High
2024-01-08 16:46:55,27.5,35.3,High
2024-01-08 16:46:57,27.5,35.2,High
2024-01-08 16:46:59,27.5,35.3,High
2024-01-08 16:47:02,27.5,35.3,High
2024-01-08 16:47:04,27.5,35.2,High
2024-01-08 16:47:06,27.5,35.3,High
2024-01-08 16:47:11,27.5,35.2,High
2024-01-08 16:47:13,27.5,35.2,High
2024-01-08 16:47:15,27.5,35.2,High
2024-01-08 16:47:22,27.5,35.3,High
2024-01-08 16:47:24,27.5,35.2,High
2024-01-08 16:47:26,27.5,35.2,High
2024-01-08 16:47:29,27.5,35.2,High
2024-01-08 16:47:33,27.5,35.3,High
2024-01-08 16:47:35,27.5,35.3,High
2024-01-08 16:47:38,27.5,35.3,High
2024-01-08 16:47:40,27.5,35.2,High
2024-01-08 16:47:44,27.5,35.2,High
2024-01-08 16:47:47,27.5,35.2,High
2024-01-08 16:47:49,27.5,35.2,High
2024-01-08 16:47:51,27.5,35.3,High
2024-01-08 16:47:54,27.5,35.2,High
2024-01-08 16:47:56,27.5,35.2,High
2024-01-08 16:47:58,27.5,35.3,High
2024-01-08 16:48:00,27.5,35.3,High
2024-01-08 16:48:03,27.5,35.3,High
2024-01-08 16:48:05,27.5,35.3,High
2024-01-08 16:48:07,27.5,35.3,High
2024-01-08 16:48:09,27.5,35.3,High
2024-01-08 16:48:12,27.5,35.2,High
2024-01-08 16:48:14,27.5,35.3,High
2024-01-08 16:48:16,27.5,35.3,High
2024-01-08 16:48:18,27.5,35.3,High
2024-01-08 16:48:21,27.5,35.3,High
2024-01-08 16:48:23,27.5,35.2,High
2024-01-08 16:48:25,27.5,35.2,High
2024-01-08 16:48:30,27.5,35.2,High
2024-01-08 16:48:32,27.5,35.3,High
2024-01-08 16:48:34,27.5,35.3,High
2024-01-08 16:48:39,27.5,35.1,High
2024-01-08 16:48:41,27.5,35.1,High
2024-01-08 16:48:43,27.5,35.1,High
2024-01-08 16:48:45,27.5,35.2,High
2024-01-08 16:48:48,27.5,35.2,High
2024-01-08 16:48:50,27.5,35.3,High
2024-01-08 16:48:52,27.5,35.3,High
2024-01-08 16:48:54,27.5,35.3,High
2024-01-08 16:48:57,27.5,35.2,High
2024-01-08 16:48:59,27.5,35.2,High
2024-01-08 16:49:01,27.5,35.2,High
2024-01-08 16:49:04,27.5,35.2,High
2024-01-08 16:49:06,27.5,35.2,High
2024-01-08 16:49:08,27.5,35.2,High
2024-01-08 16:49:13,27.5,35.2,High
